"box","section","x","y","edge_edi","altitude_m","northness","no_trees_75m","pnum","area_polygon","area_polygon_sqrt"
"B110","B",447773.72,207567.76,95.0286,112.732,0.619533826,NA,"19851B110",15726.3240591921,125.404641298447
"B110","B",447773.72,207567.76,95.0286,112.732,0.619533826,NA,"20021B110",3019.31626056902,54.948305347563
"B111","B",447749.72,207600.76,131.394,112.968,0.563775457,6,"19641B111",2317.00155012496,48.1352422880051
"B111","B",447749.72,207600.76,131.394,112.968,0.563775457,6,"20031B111",3621.45412888192,60.1785188325695
"B111","B",447749.72,207600.76,131.394,112.968,0.563775457,6,"19691B111",6168.81206157617,78.5417854493783
"B111","B",447749.72,207600.76,131.394,112.968,0.563775457,6,"19971B111",5629.20467748772,75.0280259468935
"B111","B",447749.72,207600.76,131.394,112.968,0.563775457,6,"19731B111",5716.03569259122,75.6044687342701
"B111","B",447749.72,207600.76,131.394,112.968,0.563775457,6,"19981B111",5522.01538199838,74.3102643111864
"B111","B",447749.72,207600.76,131.394,112.968,0.563775457,6,"19711B111",8324.68811228685,91.2397288043254
"B111","B",447749.72,207600.76,131.394,112.968,0.563775457,6,"19721B111",5437.04180945083,73.7362991304204
"B111","B",447749.72,207600.76,131.394,112.968,0.563775457,6,"19781B111",10769.4801020026,103.776105640955
"B111","B",447749.72,207600.76,131.394,112.968,0.563775457,6,"20151B111",3475.93087646551,58.9570256751943
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"19681B112",6010.85232135467,77.5296867100253
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"19751B112",9454.52675812133,97.234390819922
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"19711B112",2732.13281252235,52.269807848531
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"19671B112",7597.87008009292,87.1657620863428
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"19991B112",10478.9976904504,102.366975585149
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"19631B112",8245.30922027491,90.8036850588946
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"20111B112",6977.65194757469,83.5323407284549
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"19641B112",2723.08615371957,52.1831980020348
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"19621B112",10567.3863494024,102.797793504542
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"20081B112",2814.24390836246,53.0494477668002
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"20101B112",7370.01640447415,85.8487996682199
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"19601B112",6447.41729001328,80.2958111610642
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"19821B112",7010.2784961313,83.7274058844014
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"20131B112",7304.29572317866,85.4651725744391
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"19691B112",3395.06264524162,58.2671660992846
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"20121B112",4544.12593896873,67.4101323168018
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"20151B112",8434.09222245216,91.8373138895741
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"20061B112",6114.67667537229,78.1963980971777
"B112","B",447766.72,207641.76,134.206,107.653,0.624052811,7,"19871B112",6327.73221142218,79.5470440143578
"B113","B",447736.72,207671.76,174.282,107.886,0.69876121,5,"19611B113",3060.00309501588,55.3172947188841
"B113","B",447736.72,207671.76,174.282,107.886,0.69876121,5,"19671B113",6750.53560540266,82.1616431517935
"B113","B",447736.72,207671.76,174.282,107.886,0.69876121,5,"19701B113",4316.07072544284,65.6968090963545
"B113","B",447736.72,207671.76,174.282,107.886,0.69876121,5,"19651B113",9668.26536228973,98.3273378175659
"B113","B",447736.72,207671.76,174.282,107.886,0.69876121,5,"19791B113",18683.5573578291,136.687809836244
"B113","B",447736.72,207671.76,174.282,107.886,0.69876121,5,"19851B113",6961.84306904301,83.4376597768838
"B113","B",447736.72,207671.76,174.282,107.886,0.69876121,5,"19661B113",8308.07134132832,91.1486222678562
"B113","B",447736.72,207671.76,174.282,107.886,0.69876121,5,"19901B113",4868.14101141691,69.7720646922313
"B113","B",447736.72,207671.76,174.282,107.886,0.69876121,5,"20041B113",8147.46395251527,90.2633034655572
"B113","B",447736.72,207671.76,174.282,107.886,0.69876121,5,"19641B113",3442.66786760138,58.6742521690851
"B113","B",447736.72,207671.76,174.282,107.886,0.69876121,5,"19711B113",8844.28765674029,94.0440729484867
"B113","B",447736.72,207671.76,174.282,107.886,0.69876121,5,"20181B113",8288.77967209369,91.042735416362
"B113","B",447736.72,207671.76,174.282,107.886,0.69876121,5,"19781B113",5168.29362435546,71.8908452054603
"B113","B",447736.72,207671.76,174.282,107.886,0.69876121,5,"19881B113",6292.00300326757,79.3221469910363
"B114","B",447784.72,207706.76,146.739,100.681,0.522019302,5,"20181B114",4915.7874202244,70.1126766014848
"B114","B",447784.72,207706.76,146.739,100.681,0.522019302,5,"19731B114",7671.05062338151,87.584534156331
